test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
XLOC_004101	XLOC_004101	-	chr11:2421250-2425263	hepg2_hr2	hepg2_hr3	OK	0.788461	2.03228	1.36599	0.427408	0.37915	0.999565	no
XLOC_004102	XLOC_004102	KCNQ1	chr11:2466220-2870340	hepg2_hr2	hepg2_hr3	NOTEST	0.0219525	0.0377475	0.781995	0	1	1	no
XLOC_004103	XLOC_004103	KCNQ1DN	chr11:2891262-2893336	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004104	XLOC_004104	SLC22A18	chr11:2908619-2946478	hepg2_hr2	hepg2_hr3	OK	9.42495	9.51831	0.0142197	0.0571119	0.952	0.999565	no
XLOC_004105	XLOC_004105	C11orf36	chr11:3239173-3244361	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004106	XLOC_004106	LOC650368	chr11:3402167-3430378	hepg2_hr2	hepg2_hr3	NOTEST	0.166696	0.112176	-0.571454	0	1	1	no
XLOC_004107	XLOC_004107	TRPC2	chr11:3647713-3658789	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004108	XLOC_004108	ART1	chr11:3666360-3685646	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004109	XLOC_004109	PGAP2	chr11:3696060-3847745	hepg2_hr2	hepg2_hr3	OK	13.7987	14.6457	0.085943	0.158452	0.8732	0.999565	no
XLOC_004110	XLOC_004110	STIM1	chr11:3876300-4114442	hepg2_hr2	hepg2_hr3	OK	13.8431	13.8462	0.000326222	0.00160852	0.99835	0.999565	no
XLOC_004111	XLOC_004111	RRM1	chr11:4115923-4160106	hepg2_hr2	hepg2_hr3	OK	43.8743	42.8473	-0.0341714	-0.174591	0.8585	0.999565	no
XLOC_004112	XLOC_004112	OR52K2	chr11:4470524-4471591	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004113	XLOC_004113	OR52K1	chr11:4510108-4511138	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004114	XLOC_004114	OR52M1	chr11:4566420-4567374	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004115	XLOC_004115	OR52I2	chr11:4608020-4609135	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004116	XLOC_004116	OR52I1	chr11:4615268-4616243	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004117	XLOC_004117	OR51D1	chr11:4660944-4662068	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004118	XLOC_004118	OR51E1	chr11:4665155-4676716	hepg2_hr2	hepg2_hr3	NOTEST	0	0.0416229	inf	0	1	1	no
XLOC_004119	XLOC_004119	OR51F2	chr11:4842615-4843644	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004120	XLOC_004120	OR51T1	chr11:4903048-4904113	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004121	XLOC_004121	OR51A7	chr11:4928599-4929538	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004122	XLOC_004122	MMP26	chr11:5009423-5013659	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004123	XLOC_004123	OR51L1	chr11:5020212-5021160	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004124	XLOC_004124	OR52J3	chr11:5067755-5068691	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004125	XLOC_004125	-	chr11:5361506-5526871	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004126	XLOC_004126	OR51B6	chr11:5361506-5526871	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004127	XLOC_004127	OR51M1	chr11:5361506-5526871	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004128	XLOC_004128	OR51Q1	chr11:5361506-5526871	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004129	XLOC_004129	OR51I2	chr11:5361506-5526871	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004130	XLOC_004130	OR52D1	chr11:5361506-5526871	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004131	XLOC_004131	OR52B6	chr11:5602106-5603114	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004132	XLOC_004132	TRIM34,TRIM6,TRIM6-TRIM34	chr11:5617330-5706339	hepg2_hr2	hepg2_hr3	OK	0.437087	0.507216	0.21468	0.159107	0.85455	0.999565	no
XLOC_004133	XLOC_004133	TRIM22	chr11:5710816-5732093	hepg2_hr2	hepg2_hr3	OK	2.0464	2.59284	0.341447	1.2261	0.2136	0.999565	no
XLOC_004134	XLOC_004134	OR56B1	chr11:5757677-5758768	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004135	XLOC_004135	OR52N4	chr11:5775922-5776959	hepg2_hr2	hepg2_hr3	NOTEST	0.125553	0.360227	1.52061	0	1	1	no
XLOC_004136	XLOC_004136	OR52N2	chr11:5841565-5842531	hepg2_hr2	hepg2_hr3	NOTEST	0.0625483	0	-inf	0	1	1	no
XLOC_004137	XLOC_004137	OR52E4	chr11:5902337-5960842	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004138	XLOC_004138	OR56A3	chr11:5968576-5969524	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004139	XLOC_004139	OR56B4	chr11:6129008-6129968	hepg2_hr2	hepg2_hr3	NOTEST	0.0587923	0.0681805	0.213732	0	1	1	no
XLOC_004140	XLOC_004140	OR52W1	chr11:6220453-6221416	hepg2_hr2	hepg2_hr3	NOTEST	0	0.058351	inf	0	1	1	no
XLOC_004141	XLOC_004141	C11orf42	chr11:6223173-6255941	hepg2_hr2	hepg2_hr3	NOTEST	0.203646	0.292425	0.521999	0	1	1	no
XLOC_004142	XLOC_004142	CNGA4	chr11:6260329-6265707	hepg2_hr2	hepg2_hr3	NOTEST	0.0194539	0	-inf	0	1	1	no
XLOC_004143	XLOC_004143	CCKBR	chr11:6280965-6293356	hepg2_hr2	hepg2_hr3	NOTEST	0	0.0216703	inf	0	1	1	no
XLOC_004144	XLOC_004144	SMPD1	chr11:6411593-6416229	hepg2_hr2	hepg2_hr3	OK	5.29795	5.07075	-0.0632336	-0.273546	0.78325	0.999565	no
XLOC_004145	XLOC_004145	FXC1	chr11:6495470-6512574	hepg2_hr2	hepg2_hr3	OK	19.1994	20.6876	0.107708	0.378511	0.69515	0.999565	no
XLOC_004146	XLOC_004146	DNHD1	chr11:6518016-6640716	hepg2_hr2	hepg2_hr3	OK	1.2005	1.5819	0.398021	0.380519	0.6939	0.999565	no
XLOC_004147	XLOC_004147	ILK	chr11:6518016-6640716	hepg2_hr2	hepg2_hr3	OK	29.7828	30.5063	0.0346304	0.0839474	0.93205	0.999565	no
XLOC_004148	XLOC_004148	OR2AG1	chr11:6806247-6807245	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004149	XLOC_004149	OR10A5	chr11:6866913-6867867	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004150	XLOC_004150	OR10A2	chr11:6890985-6891897	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004151	XLOC_004151	OR10A4	chr11:6897855-6898850	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004152	XLOC_004152	OR2D3	chr11:6942232-6943225	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004153	XLOC_004153	ZNF215	chr11:6947580-6979527	hepg2_hr2	hepg2_hr3	NOTEST	0.0262574	0.103306	1.97613	0	1	1	no
XLOC_004154	XLOC_004154	NLRP14	chr11:7041699-7092757	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004155	XLOC_004155	RBMXL2	chr11:7110164-7112379	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004156	XLOC_004156	SYT9	chr11:7273180-7490276	hepg2_hr2	hepg2_hr3	NOTEST	0	0.011353	inf	0	1	1	no
XLOC_004157	XLOC_004157	OLFML1	chr11:7506599-7532606	hepg2_hr2	hepg2_hr3	OK	0.539552	0.245158	-1.13805	-2.15288	0.0447	0.999565	no
XLOC_004158	XLOC_004158	PPFIBP2	chr11:7534962-7676575	hepg2_hr2	hepg2_hr3	OK	3.4258	3.34719	-0.0334935	-0.147763	0.8808	0.999565	no
XLOC_004159	XLOC_004159	OR5E1P	chr11:7700088-7957741	hepg2_hr2	hepg2_hr3	NOTEST	0.132181	0	-inf	0	1	1	no
XLOC_004160	XLOC_004160	OR10A6	chr11:7700088-7957741	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004161	XLOC_004161	EIF3F	chr11:8008591-8024432	hepg2_hr2	hepg2_hr3	OK	106.391	100.171	-0.0869157	-0.442933	0.64465	0.999565	no
XLOC_004162	XLOC_004162	TUB	chr11:8040238-8190590	hepg2_hr2	hepg2_hr3	OK	5.15941	4.88813	-0.0779232	-0.370387	0.70985	0.999565	no
XLOC_004163	XLOC_004163	RPL27A	chr11:8633488-8711419	hepg2_hr2	hepg2_hr3	OK	122.958	119.378	-0.0426337	-0.219492	0.81755	0.999565	no
XLOC_004164	XLOC_004164	SNORA3	chr11:8633488-8711419	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004165	XLOC_004165	SNORA45	chr11:8633488-8711419	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004166	XLOC_004166	C11orf17	chr11:8932646-8954618	hepg2_hr2	hepg2_hr3	OK	10.7953	11.0716	0.0364532	0.156255	0.8691	0.999565	no
XLOC_004167	XLOC_004167	FLJ46111	chr11:9115909-9117737	hepg2_hr2	hepg2_hr3	NOTEST	0.0319036	0.0191114	-0.73929	0	1	1	no
XLOC_004168	XLOC_004168	IPO7	chr11:9406168-9469674	hepg2_hr2	hepg2_hr3	OK	78.8049	78.6357	-0.00310155	-0.0161718	0.9868	0.999565	no
XLOC_004169	XLOC_004169	SNORA23	chr11:9406168-9469674	hepg2_hr2	hepg2_hr3	OK	0	3.68886	inf	-nan	0.20575	0.999565	no
XLOC_004170	XLOC_004170	ZNF143	chr11:9482371-9550155	hepg2_hr2	hepg2_hr3	OK	5.36806	4.7204	-0.185492	-0.805104	0.4173	0.999565	no
XLOC_004171	XLOC_004171	WEE1	chr11:9595227-9611313	hepg2_hr2	hepg2_hr3	OK	15.2078	15.1086	-0.00943917	-0.0459694	0.96405	0.999565	no
XLOC_004172	XLOC_004172	SWAP70	chr11:9685627-9774534	hepg2_hr2	hepg2_hr3	OK	7.88277	7.68622	-0.036428	-0.175571	0.85605	0.999565	no
XLOC_004173	XLOC_004173	LOC283104	chr11:9776231-10315754	hepg2_hr2	hepg2_hr3	OK	2.20574	2.21876	0.00848981	0.0117263	0.9901	0.999565	no
XLOC_004174	XLOC_004174	ADM	chr11:10326641-10328923	hepg2_hr2	hepg2_hr3	OK	4.69058	4.63595	-0.0169023	-0.0626648	0.9539	0.999565	no
XLOC_004175	XLOC_004175	AMPD3	chr11:10471867-10529129	hepg2_hr2	hepg2_hr3	NOTEST	0.401957	0.350972	-0.195683	0	1	1	no
XLOC_004176	XLOC_004176	LOC100129827	chr11:10562786-10715535	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004177	XLOC_004177	CTR9	chr11:10772810-10801290	hepg2_hr2	hepg2_hr3	OK	13.1106	13.4359	0.0353611	0.175178	0.8628	0.999565	no
XLOC_004178	XLOC_004178	LOC729013	chr11:10874250-10900823	hepg2_hr2	hepg2_hr3	OK	2.17878	2.45923	0.174683	0.179574	0.85685	0.999565	no
XLOC_004179	XLOC_004179	USP47	chr11:11862868-12030917	hepg2_hr2	hepg2_hr3	OK	8.98947	9.42324	0.0679886	0.335234	0.7316	0.999565	no
XLOC_004180	XLOC_004180	MICAL2	chr11:12132071-12285361	hepg2_hr2	hepg2_hr3	OK	0.795791	1.03731	0.382392	1.41165	0.14225	0.999565	no
XLOC_004181	XLOC_004181	MICALCL	chr11:12296090-12383678	hepg2_hr2	hepg2_hr3	NOTEST	0	0.027963	inf	0	1	1	no
XLOC_004182	XLOC_004182	PARVA	chr11:12399025-12556903	hepg2_hr2	hepg2_hr3	OK	4.67141	4.53798	-0.0418068	-0.201198	0.83525	0.999565	no
XLOC_004183	XLOC_004183	TEAD1	chr11:12695826-12966447	hepg2_hr2	hepg2_hr3	OK	10.5932	10.7599	0.0225355	0.11301	0.9099	0.999565	no
XLOC_004184	XLOC_004184	RASSF10	chr11:13030969-13033653	hepg2_hr2	hepg2_hr3	NOTEST	0.0136612	0	-inf	0	1	1	no
XLOC_004185	XLOC_004185	ARNTL	chr11:13299292-13409472	hepg2_hr2	hepg2_hr3	OK	2.15402	2.02788	-0.0870612	-0.31708	0.74185	0.999565	no
XLOC_004186	XLOC_004186	FAR1	chr11:13690205-13753893	hepg2_hr2	hepg2_hr3	NOTEST	0.303334	0.302042	-0.00615677	0	1	1	no
XLOC_004187	XLOC_004187	SPON1	chr11:13983913-14289778	hepg2_hr2	hepg2_hr3	NOTEST	0.117062	0.169565	0.534564	0	1	1	no
XLOC_004188	XLOC_004188	RRAS2	chr11:14299060-14386052	hepg2_hr2	hepg2_hr3	OK	0.202142	0.713063	1.81866	0.36589	0.52125	0.999565	no
XLOC_004189	XLOC_004189	PDE3B	chr11:14526413-14895953	hepg2_hr2	hepg2_hr3	OK	12.9923	12.9785	-0.00154191	-0.00466123	0.99585	0.999565	no
XLOC_004190	XLOC_004190	CALCB	chr11:15095145-15100177	hepg2_hr2	hepg2_hr3	NOTEST	0.0425683	0.0493119	0.212156	0	1	1	no
XLOC_004191	XLOC_004191	INSC	chr11:15133969-15268754	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004192	XLOC_004192	C11orf58	chr11:16760019-16780998	hepg2_hr2	hepg2_hr3	OK	64.4556	62.9628	-0.033805	-0.174289	0.85815	0.999565	no
XLOC_004193	XLOC_004193	PLEKHA7	chr11:16798748-17074527	hepg2_hr2	hepg2_hr3	OK	3.45128	3.51284	0.0255052	0.0294027	0.97645	0.999565	no
XLOC_004194	XLOC_004194	NUCB2	chr11:17298239-17371529	hepg2_hr2	hepg2_hr3	OK	21.9109	22.2504	0.0221819	0.101672	0.9128	0.999565	no
XLOC_004195	XLOC_004195	DKFZp686O24166	chr11:17373158-17403339	hepg2_hr2	hepg2_hr3	OK	19.3633	20.1047	0.0542133	0.27626	0.78195	0.999565	no
XLOC_004196	XLOC_004196	MYOD1	chr11:17741109-17743678	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004197	XLOC_004197	KCNC1	chr11:17757494-17804602	hepg2_hr2	hepg2_hr3	NOTEST	0.0350981	0.0538975	0.618825	0	1	1	no
XLOC_004198	XLOC_004198	MRGPRX3	chr11:18142501-18160027	hepg2_hr2	hepg2_hr3	OK	0.427519	0.495105	0.211745	0.335791	0.73365	0.999565	no
XLOC_004199	XLOC_004199	MRGPRX4	chr11:18194383-18195937	hepg2_hr2	hepg2_hr3	NOTEST	0.0682223	0.0784888	0.202244	0	1	1	no
XLOC_004200	XLOC_004200	LOC494141	chr11:18230684-18235111	hepg2_hr2	hepg2_hr3	NOTEST	0.298316	0.205885	-0.535005	0	1	1	no
XLOC_004201	XLOC_004201	-	chr11:18251866-18252805	hepg2_hr2	hepg2_hr3	OK	2.606	2.15087	-0.276913	-0.724393	0.4638	0.999565	no
XLOC_004202	XLOC_004202	SAA1	chr11:18287807-18291523	hepg2_hr2	hepg2_hr3	OK	9.463	7.99756	-0.242739	-0.793364	0.4228	0.999565	no
XLOC_004203	XLOC_004203	GTF2H1	chr11:18300169-18388888	hepg2_hr2	hepg2_hr3	OK	24.6809	23.8265	-0.050832	-0.196918	0.84165	0.999565	no
XLOC_004204	XLOC_004204	LDHA	chr11:18415185-18431064	hepg2_hr2	hepg2_hr3	OK	394.63	396.854	0.00810678	0.0424322	0.9651	0.999565	no
XLOC_004205	XLOC_004205	LDHC	chr11:18433758-18473326	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004206	XLOC_004206	LDHAL6A	chr11:18477373-18549511	hepg2_hr2	hepg2_hr3	OK	0.224041	0.446393	0.994553	0.493769	0.65715	0.999565	no
XLOC_004207	XLOC_004207	-	chr11:18550962-18625462	hepg2_hr2	hepg2_hr3	OK	4.87128	4.6943	-0.0533913	-0.0624206	0.9504	0.999565	no
XLOC_004208	XLOC_004208	LOC100132715	chr11:18686476-18688026	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004209	XLOC_004209	TMEM86A	chr11:18720295-18747777	hepg2_hr2	hepg2_hr3	NOTEST	0.0667174	0.0626844	-0.0899557	0	1	1	no
XLOC_004210	XLOC_004210	ZDHHC13	chr11:19138691-19197967	hepg2_hr2	hepg2_hr3	OK	9.28526	8.96205	-0.0511134	-0.226464	0.8189	0.999565	no
XLOC_004211	XLOC_004211	NAV2	chr11:19372270-20143149	hepg2_hr2	hepg2_hr3	OK	10.8077	10.8576	0.0066429	0.0329691	0.9718	0.999565	no
XLOC_004212	XLOC_004212	HTATIP2	chr11:20385230-20405329	hepg2_hr2	hepg2_hr3	NOTEST	0.371522	0.231751	-0.680876	0	1	1	no
XLOC_004213	XLOC_004213	PRMT3	chr11:20408997-20533016	hepg2_hr2	hepg2_hr3	OK	12.7551	13.5922	0.0917	0.426767	0.66935	0.999565	no
XLOC_004214	XLOC_004214	SLC6A5	chr11:20620945-20676610	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004215	XLOC_004215	NELL1	chr11:20691116-21597229	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004216	XLOC_004216	ANO5	chr11:22214485-22304913	hepg2_hr2	hepg2_hr3	NOTEST	0.0414775	0.0367483	-0.174652	0	1	1	no
XLOC_004217	XLOC_004217	SLC17A6	chr11:22359666-22401046	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004218	XLOC_004218	GAS2	chr11:22688057-22851550	hepg2_hr2	hepg2_hr3	OK	25.6265	25.5337	-0.00523542	-0.0200546	0.98395	0.999565	no
XLOC_004219	XLOC_004219	LUZP2	chr11:24518555-25104186	hepg2_hr2	hepg2_hr3	NOTEST	0	0.0598577	inf	0	1	1	no
XLOC_004220	XLOC_004220	ANO3	chr11:26353677-26684928	hepg2_hr2	hepg2_hr3	OK	0.577257	0.795144	0.462001	0.558095	0.5745	0.999565	no
XLOC_004221	XLOC_004221	FIBIN	chr11:27015344-27021938	hepg2_hr2	hepg2_hr3	NOTEST	0.0758921	0.0687761	-0.142043	0	1	1	no
XLOC_004222	XLOC_004222	BBOX1	chr11:27062508-27258019	hepg2_hr2	hepg2_hr3	NOTEST	0.0714461	0.161846	1.1797	0	1	1	no
XLOC_004223	XLOC_004223	BDNF-AS1	chr11:27528398-27743605	hepg2_hr2	hepg2_hr3	NOTEST	0.0224526	0.167136	2.89607	0	1	1	no
XLOC_004224	XLOC_004224	MIR610	chr11:28042162-28129746	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004225	XLOC_004225	METT5D1	chr11:28129797-28355180	hepg2_hr2	hepg2_hr3	OK	6.00461	6.43692	0.1003	0.464641	0.6334	0.999565	no
XLOC_004226	XLOC_004226	-	chr11:28723920-29288546	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004227	XLOC_004227	FSHB	chr11:30252562-30256824	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004228	XLOC_004228	C11orf46	chr11:30344541-30360159	hepg2_hr2	hepg2_hr3	OK	9.10983	11.7599	0.368376	1.60057	0.1024	0.999565	no
XLOC_004229	XLOC_004229	DNAJC24	chr11:31391376-31908587	hepg2_hr2	hepg2_hr3	OK	4.92315	4.78713	-0.0404194	-0.114464	0.904	0.999565	no
XLOC_004230	XLOC_004230	ELP4	chr11:31391376-31908587	hepg2_hr2	hepg2_hr3	OK	10.8599	11.879	0.1294	0.40094	0.6791	0.999565	no
XLOC_004231	XLOC_004231	DKFZp686K1684	chr11:31391376-31908587	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004232	XLOC_004232	RCN1	chr11:32112476-32127272	hepg2_hr2	hepg2_hr3	OK	32.9738	31.6378	-0.0596705	-0.299498	0.75615	0.999565	no
XLOC_004233	XLOC_004233	WT1-AS	chr11:32409073-32461620	hepg2_hr2	hepg2_hr3	NOTEST	0.0753823	0.0204455	-1.88244	0	1	1	no
XLOC_004234	XLOC_004234	EIF3M	chr11:32605390-32816187	hepg2_hr2	hepg2_hr3	OK	120.061	120.249	0.00225459	0.0113264	0.99045	0.999565	no
XLOC_004235	XLOC_004235	PRRG4	chr11:32851231-32879637	hepg2_hr2	hepg2_hr3	OK	0.611003	0.508599	-0.264652	-0.644234	0.5008	0.999565	no
XLOC_004236	XLOC_004236	QSER1	chr11:32913326-33001879	hepg2_hr2	hepg2_hr3	OK	11.4762	11.6696	0.0241092	0.12136	0.89945	0.999565	no
XLOC_004237	XLOC_004237	DEPDC7	chr11:33037409-33055177	hepg2_hr2	hepg2_hr3	OK	15.7724	17.7557	0.170878	0.779886	0.4292	0.999565	no
XLOC_004238	XLOC_004238	TCP11L1	chr11:33060962-33095525	hepg2_hr2	hepg2_hr3	OK	5.19545	4.53392	-0.196489	-0.83222	0.4024	0.999565	no
XLOC_004239	XLOC_004239	NCRNA00294	chr11:33097695-33101000	hepg2_hr2	hepg2_hr3	OK	2.73634	2.42889	-0.171949	-0.650376	0.51235	0.999565	no
XLOC_004240	XLOC_004240	LOC338739	chr11:33183176-33213142	hepg2_hr2	hepg2_hr3	NOTEST	0.343542	0.147059	-1.22409	0	1	1	no
XLOC_004241	XLOC_004241	HIPK3	chr11:33278297-33378569	hepg2_hr2	hepg2_hr3	OK	12.8546	12.369	-0.0555563	-0.273719	0.78055	0.999565	no
XLOC_004242	XLOC_004242	C11orf41	chr11:33398409-33695646	hepg2_hr2	hepg2_hr3	NOTEST	0.0198446	0.0199372	0.00671823	0	1	1	no
XLOC_004243	XLOC_004243	CAPRIN1	chr11:34072933-34125142	hepg2_hr2	hepg2_hr3	OK	78.0455	79.1957	0.0211056	0.109521	0.9083	0.999565	no
XLOC_004244	XLOC_004244	NAT10	chr11:34127003-34382761	hepg2_hr2	hepg2_hr3	OK	20.0035	19.63	-0.0271949	-0.114064	0.9067	0.999565	no
XLOC_004245	XLOC_004245	CAT	chr11:34460471-34493607	hepg2_hr2	hepg2_hr3	OK	48.7147	47.4174	-0.0389425	-0.19763	0.83925	0.999565	no
XLOC_004246	XLOC_004246	EHF	chr11:34642587-34684834	hepg2_hr2	hepg2_hr3	NOTEST	0.0372422	0.0626699	0.750836	0	1	1	no
XLOC_004247	XLOC_004247	PDHX	chr11:34903842-35017675	hepg2_hr2	hepg2_hr3	OK	25.1522	24.9887	-0.00941095	-0.0410788	0.9662	0.999565	no
XLOC_004248	XLOC_004248	CD44	chr11:35160416-35253996	hepg2_hr2	hepg2_hr3	NOTEST	0.322485	0.243144	-0.407422	0	1	1	no
XLOC_004249	XLOC_004249	FJX1	chr11:35639734-35642421	hepg2_hr2	hepg2_hr3	OK	0.985317	1.14238	0.213389	0.619985	0.52965	0.999565	no
XLOC_004250	XLOC_004250	TRIM44	chr11:35683939-35832784	hepg2_hr2	hepg2_hr3	OK	18.7064	17.2212	-0.119347	-0.607283	0.5312	0.999565	no
XLOC_004251	XLOC_004251	LDLRAD3	chr11:35965583-36253818	hepg2_hr2	hepg2_hr3	OK	0.655482	0.426929	-0.618559	-1.42045	0.14585	0.999565	no
XLOC_004252	XLOC_004252	PRR5L	chr11:36317724-36487052	hepg2_hr2	hepg2_hr3	NOTEST	0.0135413	0.0310633	1.19784	0	1	1	no
XLOC_004253	XLOC_004253	RAG1	chr11:36589562-36601310	hepg2_hr2	hepg2_hr3	NOTEST	0.0573763	0.0243413	-1.23705	0	1	1	no
XLOC_004254	XLOC_004254	C11orf74	chr11:36613492-36682682	hepg2_hr2	hepg2_hr3	OK	13.7455	11.8091	-0.219061	-0.83581	0.3945	0.999565	no
XLOC_004255	XLOC_004255	API5	chr11:43333504-43366080	hepg2_hr2	hepg2_hr3	OK	37.8767	39.137	0.0472232	0.24161	0.8081	0.999565	no
XLOC_004256	XLOC_004256	TTC17	chr11:43380429-43516483	hepg2_hr2	hepg2_hr3	OK	14.0855	13.151	-0.0990407	-0.494142	0.6098	0.999565	no
XLOC_004257	XLOC_004257	MIR670	chr11:43581205-43581303	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004258	XLOC_004258	MIR129-2	chr11:43602943-43603033	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004259	XLOC_004259	HSD17B12	chr11:43702119-43888835	hepg2_hr2	hepg2_hr3	OK	61.0389	58.0438	-0.0725873	-0.336436	0.7275	0.999565	no
XLOC_004260	XLOC_004260	ALKBH3	chr11:43902333-43943182	hepg2_hr2	hepg2_hr3	OK	8.32389	7.71345	-0.109882	-0.469007	0.6277	0.999565	no
XLOC_004261	XLOC_004261	LOC729799	chr11:43902333-43943182	hepg2_hr2	hepg2_hr3	NOTEST	0.227656	0.224416	-0.0206804	0	1	1	no
XLOC_004262	XLOC_004262	C11orf96	chr11:43964105-43965433	hepg2_hr2	hepg2_hr3	NOTEST	0.0669167	0.039687	-0.753701	0	1	1	no
XLOC_004263	XLOC_004263	ACCSL	chr11:44069530-44081527	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004264	XLOC_004264	ACCS	chr11:44087685-44105876	hepg2_hr2	hepg2_hr3	NOTEST	0.140155	0.10102	-0.472382	0	1	1	no
XLOC_004265	XLOC_004265	EXT2	chr11:44117083-44268806	hepg2_hr2	hepg2_hr3	OK	28.4969	27.2877	-0.0625563	-0.314607	0.7457	0.999565	no
XLOC_004266	XLOC_004266	CD82	chr11:44587140-44641315	hepg2_hr2	hepg2_hr3	OK	0.486461	0.262288	-0.891173	-1.34085	0.1626	0.999565	no
XLOC_004267	XLOC_004267	TSPAN18	chr11:44748491-44972608	hepg2_hr2	hepg2_hr3	NOTEST	0.00844904	0.0298795	1.8223	0	1	1	no
XLOC_004268	XLOC_004268	LOC221122	chr11:44995452-44999578	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
XLOC_004269	XLOC_004269	PRDM11	chr11:45115563-45256596	hepg2_hr2	hepg2_hr3	OK	1.62773	1.94822	0.259296	0.938115	0.32545	0.999565	no
XLOC_004270	XLOC_004270	-	chr11:45377060-45378379	hepg2_hr2	hepg2_hr3	NOTEST	0	0	0	0	1	1	no
